id,title,price,currency,regular_price,discount_percent,brand,url,image,in_stock,source,country,scraped_at,processor,gpu,ram_gb,storage,screen_size,sku,description
90815,"PC Portable Gamer ASUS Vivobook 16X I5-13420H 16GB 512SSD RTX30504GO W11 16"" WUXGA SILVER",2365.0,TND,2519.0,6.11,,https://www.tunisianet.com.tn/pc-portable-tunisie/90815-pc-portable-gamer-asus-vivobook-16x-i5-13420h-16gb-512ssd-rtx30504go-w11-16-wuxga-silver.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.105072,I5-13420H,,30504.0,30504 GO SSD,"16""",,
90810,"PC Portable Gamer ASUS Vivobook 16X I5-13420H 16GB 512SSD RTX30504GO W11 16"" WUXGA BLACK",2365.0,TND,2519.0,6.11,,https://www.tunisianet.com.tn/pc-portable-tunisie/90810-pc-portable-gamer-asus-vivobook-16x-i5-13420h-16gb-512ssd-rtx30504go-w11-16-wuxga-black.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.108072,I5-13420H,,30504.0,30504 GO SSD,"16""",,
83608,Pc Portable Gamer ASUS V16 V3607VJ / Intel Core 5 210H / RTX 3050 6G / 8 Go DDR5 / 512 Go SSD / Noir,2379.0,TND,2689.0,11.53,,https://www.tunisianet.com.tn/pc-portable-tunisie/83608-pc-portable-gamer-asus-v16-v3607vj-intel-core-5-210h-rtx-3050-6g-8-go-ddr5-512-go-ssd-noir.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.111071,,RTX 3050 6G,8.0,8 Go SSD,,,
79937,Pc Portable Gamer HP Victus Gaming 15-fa1007nk / i5-13420H / RTX 2050 4G / 24 Go / 512 Go SSD / Windows 11 / Noir,2389.0,TND,,0.0,,https://www.tunisianet.com.tn/pc-portable-tunisie/79937-pc-portable-gamer-hp-victus-gaming-15-fa1007nk-i5-13420h-rtx-2050-4g-24-go-512-go-ssd-windows-11-noir.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.115072,i5-13420H,RTX 2050 4G,24.0,24 Go SSD,,,
72735,PC Portable ASUS TUF Gaming A15 FA506NF / Ryzen 5 7535HS / RTX 2050 4G / 16 Go / Windows 11 / Noir,2389.0,TND,,0.0,,https://www.tunisianet.com.tn/pc-portable-tunisie/72735-pc-portable-asus-tuf-gaming-a15-fa506nf-ryzen-5-7535hs-rtx-2050-4g-16-go-windows-11-noir.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.117071,,RTX 2050 4G,16.0,16 Go SSD,,,
89994,Portable Gaming HP Victus Gaming 15-fa2029nk / i7-13620H / RTX 2050 4G / 8 Go / 512 Go SSD / Windows 11 / Argent,2389.0,TND,,0.0,,https://www.tunisianet.com.tn/pc-portable-tunisie/89994-portable-gaming-hp-victus-gaming-15-fa2029nk-i7-13620h-rtx-2050-4g-8-go-512-go-ssd-windows-11-argent.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.120071,i7-13620H,RTX 2050 4G,8.0,8 Go SSD,,,
90226,Pc Portable Gamer HP Victus Gaming 15-fa1007nk / i5-13420H / RTX 2050 4G / 24 Go / 512 Go SSD / Windows 11 / Noir,2389.0,TND,,0.0,,https://www.tunisianet.com.tn/pc-portable-tunisie/90226-pc-portable-gamer-hp-victus-gaming-15-fa1007nk-i5-13420h-rtx-2050-4g-24-go-512-go-ssd-windows-11-noir.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.123079,i5-13420H,RTX 2050 4G,24.0,24 Go SSD,,,
79794,Pc Portable Gamer MSI Thin 15 B13U / i7-13620H / RTX 2050 4G / 8 Go / 512 Go SSD / Gris Cosmos Sac à dos MSI Offert,2389.0,TND,,0.0,,https://www.tunisianet.com.tn/pc-portable-tunisie/79794-pc-portable-gamer-msi-thin-15-b13u-i7-13620h-rtx-2050-4g-8-go-512-go-ssd-gris-cosmos-sac-a-dos-msi-offert-.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.128038,i7-13620H,RTX 2050 4G,8.0,8 Go SSD,,,
89566,Pc Portable Gamer MSI Thin 15 B13UDX / i5-13420H / RTX 3050 6G / 8 Go / 512 Go SSD / Gris,2399.0,TND,,0.0,,https://www.tunisianet.com.tn/pc-portable-tunisie/89566-pc-portable-gamer-msi-thin-15-b13udx-i5-13420h-rtx-3050-6g-8-go-512-go-ssd-gris.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.132038,i5-13420H,RTX 3050 6G,8.0,8 Go SSD,,,
72632,PC Portable ASUS TUF Gaming A15 FA506NFR / Ryzen 7 7435HS / RTX 2050 4G / 8 Go / 512 Go SSD / Windows 11 / Noir,2399.0,TND,2499.0,4.0,,https://www.tunisianet.com.tn/pc-portable-tunisie/72632-pc-portable-asus-tuf-gaming-a15-fa506nfr-ryzen-7-7435hs-rtx-2050-4g-8-go-512-go-ssd-windows-11-noir.html,,False,tunisianet,Tunisia,2026-01-02T16:31:20.134037,,RTX 2050 4G,8.0,8 Go SSD,,,
